NumEstacao,distance
1005046783,0.220925
1005046791,0.28
1005046805,0.139785
1005046848,0.28
1005046872,0.259945
1005986174,0.28
1005986182,0.28
1005986190,0.28
1005986212,0.11144
1005986255,0.15474000000000002
1006041793,0.18206999999999998
1006041823,0.28
1006041840,0.177495
1006041858,0.28
1006041874,0.28
1006071498,0.09883
1006103306,0.182875
1006103357,0.20111
1006103373,0.21806
1006119717,0.28
1006119733,0.23056000000000001
1006681253,0.28
1006681288,0.12525
1006681342,0.170965
1006681350,0.13946
1006894079,0.28
1006964557,0.14702500000000002
1006964573,0.142485
1007089013,0.199035
1007089030,0.22802
1007089048,0.05
1007089110,0.28
1007089145,0.05
1007092685,0.108435
1007092723,0.11735
1007092731,0.09855
1007159399,0.128935
1007175882,0.19860499999999998
1007178164,0.18004
1007178180,0.28
1007178288,0.192695
1007230409,0.28
1007230417,0.20323500000000003
1007230573,0.05
1007230735,0.05
1007421484,0.28
1007421506,0.20389
1007421522,0.187335
1007421530,0.145725
1007639978,0.057005
1007639986,0.28
1007640046,0.21822999999999998
1007745972,0.06572499999999999
1007745980,0.223865
1007746022,0.12129999999999999
1007751484,0.25101
1007751492,0.28
1007751506,0.28
1007751514,0.06538
1008208130,0.11122
1008208164,0.05902
1008208172,0.28
1008208210,0.185275
1008208229,0.28
1008208237,0.14647
1008216140,0.135275
1008400189,0.215345
1008400286,0.28
1008484242,0.109075
1008484269,0.17088499999999998
1008484277,0.17076
1008484331,0.057005
1008484382,0.28
1008608286,0.188785
1008681994,0.185245
1008682001,0.28
1008682010,0.28
1008682036,0.07291
1008817489,0.15794
1008931230,0.250855
1009030504,0.28
1009030539,0.28
1009194108,0.28
1009194132,0.19584000000000001
1009208796,0.28
1009208834,0.15204499999999999
1009208869,0.28
1009208885,0.210945
1009208893,0.28
1009251004,0.28
1009251012,0.193375
1009251047,0.28
1009251071,0.16802
1009251110,0.14289500000000002
1009251144,0.18806
1009251187,0.28
1009269582,0.145385
1009269590,0.10363
1009459560,0.200125
1009459578,0.28
1009459640,0.14261000000000001
1009465497,0.24615
1009465500,0.135275
1009465527,0.28
1009465535,0.155435
1009465543,0.28
1009465560,0.28
1009465578,0.28
1009578372,0.10442
1009578380,0.18153999999999998
1009578402,0.152275
1009578429,0.28
1009578453,0.28
1009599353,0.05
1009599361,0.165435
1009599396,0.28
1009599400,0.109075
1009649415,0.28
1009650650,0.28
1009778851,0.27358499999999997
1009778860,0.28
1009778894,0.219885
1009778916,0.07257
1009778924,0.11369499999999999
1009860388,0.12559
1009860400,0.155495
1009922049,0.17163499999999998
1009922073,0.17498
